source_row_id,company_name,website,linkedin_url,location,primary_industry,company_size,company_type,solar_developer_flag,keyword_flag,utility_check,residential_mention,business_model_fit_score,community_solar_score,lmi_alignment_score,capital_need_score,stage_scale_score,geographic_score,strategic_alignment_score,ecosystem_signal_score,total_score,priority_tier,confidence_level,needs_review,priority_reason,evidence_notes,suggested_linkedin_angle,suggested_target_titles
47,Babcock Ranch,babcockranchforbusiness.com,https://www.linkedin.com/company/babcock-ranch,"Babcock Ranch, Florida",Real Estate,51-200 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,18,6,0,7,6,2,0,2,41,B,medium,True,strong developer profile; meaningful scale,"[biz] strong developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, smaller company (51-200) | [geo] US location (Babcock Ranch, Florida) - moderate relevance | [eco] named partnerships",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
305,Legacy Solar Co-op,legacysolarcoop.org,https://www.linkedin.com/company/legacy-solar-co-op,"Madison, Wisconsin",Environmental Services,2-10 employees,Partnership,TRUE,TRUE,FALSE,TRUE,13,14,0,4,0,2,6,2,41,B,low,True,community solar developer; developer signals present,"[biz] some developer language, commercial/DG signals | [comm] explicit community solar | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Madison, Wisconsin) - moderate relevance | [strat] community/LMI focus implies mission alignment | [eco] named partnerships",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
346,National Energy Installers,nationalenergyinstallers.com,https://www.linkedin.com/company/national-energy-installers,"Newport Beach, CA",Solar Electric Power Generation,51-200 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,3,6,3,6,4,6,0,41,B,medium,True,developer signals present; meaningful scale,"[biz] developer industry, commercial/DG signals | [comm] commercial solar signals | [lmi] LMI/equity language (1 signal) | [cap] commercial at scale (weak financing relevance) | [scale] scale/repeat signals in description, smaller company (51-200) | [geo] high-opportunity state (CA) | [strat] community/LMI focus implies mission alignment | [eco] no ecosystem signals found",Explore commercial solar project pipeline; ask about financing needs for growth,VP of Development; CEO; Director of Business Development; CFO
161,Empowered By Light,empoweredbylight.org,https://www.linkedin.com/company/empowered-by-light,"Larkspur, CA",Renewable Energy Power Generation,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,18,6,0,7,3,4,2,0,40,B,medium,True,strong developer profile,"[biz] developer industry, some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, very small scale penalty | [geo] high-opportunity state (CA) | [strat] nonprofit org type | [eco] no ecosystem signals found",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
224,Green Lantern Solar,greenlanternsolar.com,https://www.linkedin.com/company/green-lantern-solar,"Waterbury, VT",Solar Electric Power Generation,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,18,6,0,7,5,2,0,2,40,B,medium,True,strong developer profile,"[biz] developer industry, some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description | [geo] US location (Waterbury, VT) - moderate relevance | [eco] named partnerships",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
296,Kokosing Solar,kokosingsolar.com,https://www.linkedin.com/company/kokosing-solar,"Athens, OH",Renewables & Environment,"1,001-5,000 employees",Privately Held,TRUE,TRUE,FALSE,TRUE,13,6,0,7,8,2,0,4,40,B,medium,True,developer signals present; meaningful scale,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, mid-large company (501-1000) | [geo] US location (Athens, OH) - moderate relevance | [eco] long track record, named partnerships",Explore commercial solar project pipeline; ask about financing needs for growth,VP of Development; CEO; Director of Business Development; CFO
546,Staten Solar,statensolar.com,https://www.linkedin.com/company/staten-solar,"San Jose, California",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,6,0,7,6,2,0,6,40,B,medium,True,developer signals present; meaningful scale,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, smaller company (51-200) | [geo] US location (San Jose, California) - moderate relevance | [eco] media/recognition signals, named partnerships",Explore commercial solar project pipeline; ask about financing needs for growth,VP of Development; CEO; Director of Business Development; CFO
133,E Squared Energy Advisors,esquaredenergyadvisors.com,https://www.linkedin.com/company/e2-energy-advisors,frisco,Renewables & Environment,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,6,0,7,5,2,0,6,39,B,medium,True,developer signals present,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description | [geo] US location (frisco) - moderate relevance | [eco] government/national lab partnership, named partnerships",Low priority — verify fit before outreach,VP of Development; CEO; Director of Business Development; CFO
138,EarthSpark International,earthsparkinternational.org,https://www.linkedin.com/company/earthspark-international,"Washington, DC",Solar Electric Power Generation,11-50 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,13,3,3,9,0,4,7,0,39,B,medium,True,financing relevance; developer signals present; mission alignment,"[biz] developer industry, commercial/DG signals | [comm] commercial solar signals | [lmi] mission/affordability language (no explicit LMI) | [cap] financing language mentioned | [geo] high-opportunity state (DC) | [strat] some mission language, nonprofit org type | [eco] no ecosystem signals found",Open with project finance or capital stack conversation; reference growth pipeline,VP of Development; CEO; Director of Business Development; CFO
414,Red Cloud Renewable,redcloudrenewable.org,https://www.linkedin.com/company/red-cloud-renewable,"Pine Ridge, South Dakota",Non-profit Organizations,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,10,0,10,4,0,2,7,6,39,B,low,True,LMI/equity focus; developer signals present; mission alignment,"[biz] some developer language | [lmi] LMI/equity language (2 signals) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Pine Ridge, South Dakota) - moderate relevance | [strat] some mission language, nonprofit org type | [eco] government/national lab partnership, long track record",Lead with energy equity and affordable access angle; ask about LMI project pipeline,VP of Development; CEO; Director of Business Development; CFO
